,antecedents,consequents,antecedent support,consequent support,support,confidence,lift
214,frozenset({'XRP'}),"frozenset({'AXS', 'ENJ'})",0.375,0.08333333333333333,0.08333333333333333,0.2222222222222222,2.6666666666666665
215,frozenset({'ENJ'}),"frozenset({'AXS', 'XRP'})",0.25,0.16666666666666666,0.08333333333333333,0.3333333333333333,2.0
216,"frozenset({'AXS', 'WRX'})",frozenset({'ETH'}),0.16666666666666666,0.2916666666666667,0.08333333333333333,0.5,1.7142857142857142
217,"frozenset({'ETH', 'WRX'})",frozenset({'AXS'}),0.16666666666666666,0.2916666666666667,0.08333333333333333,0.5,1.7142857142857142
218,frozenset({'AXS'}),"frozenset({'ETH', 'WRX'})",0.2916666666666667,0.16666666666666666,0.08333333333333333,0.2857142857142857,1.7142857142857142
219,frozenset({'ETH'}),"frozenset({'AXS', 'WRX'})",0.2916666666666667,0.16666666666666666,0.08333333333333333,0.2857142857142857,1.7142857142857142
220,"frozenset({'AXS', 'XRP'})",frozenset({'ETH'}),0.16666666666666666,0.2916666666666667,0.08333333333333333,0.5,1.7142857142857142
221,"frozenset({'AXS', 'ETH'})",frozenset({'XRP'}),0.125,0.375,0.08333333333333333,0.6666666666666666,1.7777777777777777
222,"frozenset({'ETH', 'XRP'})",frozenset({'AXS'}),0.08333333333333333,0.2916666666666667,0.08333333333333333,1.0,3.4285714285714284
223,frozenset({'AXS'}),"frozenset({'ETH', 'XRP'})",0.2916666666666667,0.08333333333333333,0.08333333333333333,0.2857142857142857,3.4285714285714284
224,frozenset({'XRP'}),"frozenset({'AXS', 'ETH'})",0.375,0.125,0.08333333333333333,0.2222222222222222,1.7777777777777777
225,frozenset({'ETH'}),"frozenset({'AXS', 'XRP'})",0.2916666666666667,0.16666666666666666,0.08333333333333333,0.2857142857142857,1.7142857142857142
226,"frozenset({'AXS', 'XVG'})",frozenset({'WRX'}),0.08333333333333333,0.625,0.08333333333333333,1.0,1.6
227,"frozenset({'AXS', 'WRX'})",frozenset({'XVG'}),0.16666666666666666,0.125,0.08333333333333333,0.5,4.0
228,"frozenset({'XVG', 'WRX'})",frozenset({'AXS'}),0.08333333333333333,0.2916666666666667,0.08333333333333333,1.0,3.4285714285714284
229,frozenset({'AXS'}),"frozenset({'XVG', 'WRX'})",0.2916666666666667,0.08333333333333333,0.08333333333333333,0.2857142857142857,3.4285714285714284
230,frozenset({'XVG'}),"frozenset({'AXS', 'WRX'})",0.125,0.16666666666666666,0.08333333333333333,0.6666666666666666,4.0
231,frozenset({'WRX'}),"frozenset({'AXS', 'XVG'})",0.625,0.08333333333333333,0.08333333333333333,0.13333333333333333,1.6
232,"frozenset({'BAKE', 'XRP'})",frozenset({'WRX'}),0.08333333333333333,0.625,0.08333333333333333,1.0,1.6
233,"frozenset({'BAKE', 'WRX'})",frozenset({'XRP'}),0.125,0.375,0.08333333333333333,0.6666666666666666,1.7777777777777777
234,"frozenset({'XRP', 'WRX'})",frozenset({'BAKE'}),0.25,0.125,0.08333333333333333,0.3333333333333333,2.6666666666666665
235,frozenset({'BAKE'}),"frozenset({'XRP', 'WRX'})",0.125,0.25,0.08333333333333333,0.6666666666666666,2.6666666666666665
236,frozenset({'XRP'}),"frozenset({'BAKE', 'WRX'})",0.375,0.125,0.08333333333333333,0.2222222222222222,1.7777777777777777
237,frozenset({'WRX'}),"frozenset({'BAKE', 'XRP'})",0.625,0.08333333333333333,0.08333333333333333,0.13333333333333333,1.6
238,"frozenset({'BNB', 'CAKE'})",frozenset({'SAND'}),0.08333333333333333,0.375,0.08333333333333333,1.0,2.6666666666666665
239,"frozenset({'BNB', 'SAND'})",frozenset({'CAKE'}),0.08333333333333333,0.25,0.08333333333333333,1.0,4.0
240,"frozenset({'CAKE', 'SAND'})",frozenset({'BNB'}),0.125,0.16666666666666666,0.08333333333333333,0.6666666666666666,4.0
241,frozenset({'BNB'}),"frozenset({'CAKE', 'SAND'})",0.16666666666666666,0.125,0.08333333333333333,0.5,4.0
242,frozenset({'CAKE'}),"frozenset({'BNB', 'SAND'})",0.25,0.08333333333333333,0.08333333333333333,0.3333333333333333,4.0
243,frozenset({'SAND'}),"frozenset({'BNB', 'CAKE'})",0.375,0.08333333333333333,0.08333333333333333,0.2222222222222222,2.6666666666666665
244,"frozenset({'BNB', 'CAKE'})",frozenset({'XEM'}),0.08333333333333333,0.16666666666666666,0.08333333333333333,1.0,6.0
245,"frozenset({'BNB', 'XEM'})",frozenset({'CAKE'}),0.08333333333333333,0.25,0.08333333333333333,1.0,4.0
246,"frozenset({'CAKE', 'XEM'})",frozenset({'BNB'}),0.08333333333333333,0.16666666666666666,0.08333333333333333,1.0,6.0
247,frozenset({'BNB'}),"frozenset({'CAKE', 'XEM'})",0.16666666666666666,0.08333333333333333,0.08333333333333333,0.5,6.0
248,frozenset({'CAKE'}),"frozenset({'BNB', 'XEM'})",0.25,0.08333333333333333,0.08333333333333333,0.3333333333333333,4.0
249,frozenset({'XEM'}),"frozenset({'BNB', 'CAKE'})",0.16666666666666666,0.08333333333333333,0.08333333333333333,0.5,6.0
250,"frozenset({'BNB', 'FLM'})",frozenset({'WRX'}),0.08333333333333333,0.625,0.08333333333333333,1.0,1.6
251,"frozenset({'BNB', 'WRX'})",frozenset({'FLM'}),0.125,0.16666666666666666,0.08333333333333333,0.6666666666666666,4.0
252,"frozenset({'FLM', 'WRX'})",frozenset({'BNB'}),0.125,0.16666666666666666,0.08333333333333333,0.6666666666666666,4.0
253,frozenset({'BNB'}),"frozenset({'FLM', 'WRX'})",0.16666666666666666,0.125,0.08333333333333333,0.5,4.0
254,frozenset({'FLM'}),"frozenset({'BNB', 'WRX'})",0.16666666666666666,0.125,0.08333333333333333,0.5,4.0
255,frozenset({'WRX'}),"frozenset({'BNB', 'FLM'})",0.625,0.08333333333333333,0.08333333333333333,0.13333333333333333,1.6
256,"frozenset({'BNB', 'XEM'})",frozenset({'SAND'}),0.08333333333333333,0.375,0.08333333333333333,1.0,2.6666666666666665
257,"frozenset({'SAND', 'XEM'})",frozenset({'BNB'}),0.125,0.16666666666666666,0.08333333333333333,0.6666666666666666,4.0
258,"frozenset({'BNB', 'SAND'})",frozenset({'XEM'}),0.08333333333333333,0.16666666666666666,0.08333333333333333,1.0,6.0
259,frozenset({'XEM'}),"frozenset({'BNB', 'SAND'})",0.16666666666666666,0.08333333333333333,0.08333333333333333,0.5,6.0
260,frozenset({'BNB'}),"frozenset({'SAND', 'XEM'})",0.16666666666666666,0.125,0.08333333333333333,0.5,4.0
261,frozenset({'SAND'}),"frozenset({'BNB', 'XEM'})",0.375,0.08333333333333333,0.08333333333333333,0.2222222222222222,2.6666666666666665
262,"frozenset({'BTC', 'COTI'})",frozenset({'SAND'}),0.125,0.375,0.08333333333333333,0.6666666666666666,1.7777777777777777
263,"frozenset({'BTC', 'SAND'})",frozenset({'COTI'}),0.125,0.3333333333333333,0.08333333333333333,0.6666666666666666,2.0
264,"frozenset({'COTI', 'SAND'})",frozenset({'BTC'}),0.16666666666666666,0.2916666666666667,0.08333333333333333,0.5,1.7142857142857142
265,frozenset({'BTC'}),"frozenset({'COTI', 'SAND'})",0.2916666666666667,0.16666666666666666,0.08333333333333333,0.2857142857142857,1.7142857142857142
266,frozenset({'COTI'}),"frozenset({'BTC', 'SAND'})",0.3333333333333333,0.125,0.08333333333333333,0.25,2.0
267,frozenset({'SAND'}),"frozenset({'BTC', 'COTI'})",0.375,0.125,0.08333333333333333,0.2222222222222222,1.7777777777777777
268,"frozenset({'BTC', 'WRX'})",frozenset({'DOGE'}),0.08333333333333333,0.16666666666666666,0.08333333333333333,1.0,6.0
269,"frozenset({'DOGE', 'WRX'})",frozenset({'BTC'}),0.125,0.2916666666666667,0.08333333333333333,0.6666666666666666,2.2857142857142856
270,frozenset({'BTC'}),"frozenset({'DOGE', 'WRX'})",0.2916666666666667,0.125,0.08333333333333333,0.2857142857142857,2.2857142857142856
